match_id,inning,over,ball,batsman_runs,bowler_runs,is_wicket
969,1,6,3,1,2,0
84,2,11,4,4,6,1
223,1,7,5,0,0,1
1578,2,4,5,6,0,0
1301,2,18,2,4,1,0
1655,2,1,4,0,1,0
1420,1,13,2,0,3,1
371,1,14,5,2,4,1
1492,2,11,1,4,1,0
1055,1,2,6,0,4,1
1666,2,3,6,6,4,0
1786,2,3,5,6,0,0
1604,2,14,4,3,2,1
1756,2,6,4,0,0,1
228,1,15,6,4,3,1
220,1,19,1,2,1,0
74,2,18,3,6,2,1
515,2,14,6,0,6,0
202,1,10,6,0,2,0
1309,1,12,2,3,0,0
1577,1,4,4,0,0,0
1923,1,3,2,1,0,1
1346,2,11,3,0,0,1
105,1,2,4,2,1,0
504,1,3,5,2,2,0
1030,2,1,2,0,0,1
1578,2,8,6,0,6,0
1359,1,15,1,3,2,0
325,1,4,1,4,3,1
1658,1,8,2,0,4,0
165,1,5,5,3,3,0
524,2,1,1,0,1,0
71,1,3,5,6,6,1
875,1,18,2,6,1,0
1694,1,15,5,3,0,0
21,1,15,1,2,0,1
827,1,18,4,1,6,0
1073,2,5,1,4,2,1
1665,1,11,3,0,3,0
1850,1,1,1,4,6,0
186,2,6,3,6,2,1
1141,2,13,2,0,0,0
701,1,3,4,0,4,1
1231,2,17,6,2,1,1
224,1,16,1,6,3,0
1423,2,14,2,6,1,1
1732,1,12,5,2,6,0
1631,2,12,4,2,3,0
206,2,19,5,3,6,1
1073,1,19,1,3,0,0
1072,2,17,5,0,0,0
159,2,12,6,0,2,0
1543,2,17,3,2,0,1
991,2,15,3,6,2,0
1527,2,19,3,3,4,0
1835,1,3,3,6,2,0
1977,1,1,2,3,3,0
287,1,1,4,3,0,0
1058,2,16,4,1,6,0
463,2,9,2,0,1,0
202,1,2,6,2,0,0
1482,2,6,4,2,1,1
577,2,3,4,1,4,0
1551,1,14,2,0,3,0
389,1,10,1,1,6,0
1392,2,9,2,1,0,1
1370,1,19,3,6,6,0
1245,1,13,6,4,6,0
450,2,12,4,6,2,0
1883,2,17,1,6,0,0
1692,2,5,6,3,1,0
486,2,15,4,0,0,1
1580,1,12,1,2,4,1
1660,1,13,3,4,3,1
1254,2,12,4,0,2,0
1114,1,17,2,0,3,1
1385,1,16,5,4,1,1
1026,1,3,6,4,0,0
177,1,9,6,4,6,0
173,2,6,6,0,4,0
1284,1,17,6,0,1,0
1044,1,8,6,0,0,1
1431,2,2,1,0,0,0
1738,2,14,3,0,3,0
34,1,10,4,3,4,1
1440,1,7,2,2,3,1
1400,2,16,3,2,0,1
688,2,9,5,2,3,1
269,2,9,1,6,2,0
1840,2,20,5,6,0,1
1682,1,7,6,3,1,0
1622,1,12,2,1,1,0
1857,1,10,5,0,6,0
1521,1,7,1,2,4,1
1983,1,4,3,3,0,1
392,2,5,4,0,0,0
1113,2,6,2,6,4,1
573,1,8,3,2,6,1
1050,1,12,4,0,3,0
1659,2,9,6,1,0,0
1828,2,9,2,4,1,0
1871,2,11,4,4,4,0
888,1,17,2,3,1,0
1823,1,2,2,1,2,1
1864,2,7,4,1,2,1
348,2,15,6,4,2,1
131,2,6,1,0,3,1
334,2,13,3,3,2,0
1213,2,2,1,4,4,0
1901,2,18,2,3,6,0
207,1,10,1,0,6,0
819,1,13,5,0,0,1
349,2,3,6,0,1,0
1764,1,14,4,1,0,0
1847,1,7,2,2,1,0
1353,1,17,6,0,3,1
1743,2,12,5,6,1,1
162,2,5,1,6,3,1
983,1,19,3,4,0,0
577,2,7,6,2,0,1
1506,2,16,1,0,2,0
17,1,6,2,6,1,0
234,2,6,4,0,3,0
1136,2,8,3,1,0,0
1472,1,15,2,1,0,1
1628,2,13,2,6,0,0
1677,1,5,3,2,0,0
1861,2,14,6,6,6,0
1777,2,13,5,4,4,1
1622,1,3,4,6,6,0
1934,1,11,1,6,0,0
1862,1,16,4,0,1,0
643,1,5,1,0,4,0
756,2,1,2,0,0,0
1076,2,11,6,4,3,1
1563,1,9,1,3,1,1
242,2,20,1,2,6,1
783,1,16,4,4,1,1
754,2,9,4,2,0,0
554,2,18,4,6,4,1
810,2,9,3,1,1,0
1169,1,4,2,3,0,0
457,1,19,6,6,6,0
1602,2,5,3,0,6,0
112,2,17,6,2,0,0
1888,1,15,2,6,6,0
1756,1,6,2,0,3,0
264,2,19,3,1,0,0
614,1,3,3,2,4,1
652,2,18,1,0,0,1
1411,1,11,2,1,3,0
1918,1,6,3,4,4,0
346,2,5,4,6,4,1
136,2,13,3,0,6,1
1266,1,8,3,0,1,1
1850,1,8,1,0,0,1
533,2,6,6,0,4,0
1846,2,4,4,6,1,0
1195,2,4,5,4,3,0
624,1,4,1,6,1,0
898,1,13,2,0,1,0
971,1,4,2,2,6,0
1275,1,3,2,6,0,0
1223,1,8,2,0,0,0
477,2,13,5,0,1,1
1221,2,11,1,6,0,0
8,2,8,3,4,2,1
1888,1,16,4,1,6,1
66,1,20,1,0,0,0
766,2,5,2,2,1,0
1893,1,18,2,3,3,0
1048,1,16,6,1,4,0
733,2,4,2,0,0,1
177,2,15,1,0,0,1
1222,1,5,1,1,1,1
330,2,12,1,2,4,1
1499,2,2,2,0,0,0
870,2,1,4,4,3,0
393,2,17,2,0,0,1
1036,1,15,4,3,3,0
833,2,12,1,1,0,0
1063,2,12,3,0,3,0
1306,2,4,5,0,0,0
262,1,2,1,4,2,0
325,2,9,3,4,0,0
1740,1,2,3,3,2,0
1522,1,10,5,3,1,1
1551,2,10,6,0,0,0
1672,1,14,1,4,2,1
1942,2,9,5,2,1,1
1669,1,6,6,0,4,1
1358,1,10,2,4,3,0
28,2,7,3,4,0,1
1127,2,11,4,0,2,0
837,2,3,6,4,0,0
914,2,12,4,0,1,1
1867,1,7,2,0,4,0
1689,2,4,2,6,1,0
1262,2,16,3,1,6,1
67,2,1,4,6,0,0
814,1,19,1,0,6,0
946,1,9,5,0,0,0
1201,2,6,2,4,0,0
1218,2,9,3,3,1,1
925,2,2,6,2,3,1
423,2,6,2,3,2,0
1325,2,2,3,0,1,0
80,1,10,6,1,4,0
423,2,19,2,3,2,0
332,2,13,1,3,0,0
42,1,7,6,4,0,1
107,1,7,2,1,0,1
1842,2,2,3,0,0,1
954,1,20,5,0,0,0
1070,1,2,5,0,3,1
737,1,9,3,0,4,0
1692,2,10,4,0,4,1
854,1,12,3,0,0,0
466,1,20,6,2,3,1
1296,1,19,3,0,3,0
844,1,8,3,1,3,1
1968,2,15,6,1,3,1
1102,2,2,1,3,1,0
1705,2,11,3,0,6,0
318,2,1,1,3,6,1
843,1,4,5,2,1,0
861,2,1,1,6,0,0
703,1,15,5,0,4,0
1406,2,3,1,2,4,0
827,2,12,4,4,3,0
1236,2,17,5,3,3,1
1447,1,17,3,1,3,1
1946,1,7,6,1,3,0
648,2,9,3,6,4,0
432,1,4,4,4,0,1
875,2,5,3,4,4,0
70,2,15,3,3,1,1
1026,2,16,3,1,0,1
472,2,16,5,1,0,0
1200,1,4,5,3,4,1
816,1,11,1,6,4,1
1258,2,10,3,3,1,1
1431,1,5,5,6,0,0
1673,1,14,1,1,3,1
558,2,13,6,0,2,1
1154,1,17,2,2,0,1
269,1,18,2,4,0,1
1487,1,1,4,0,6,0
238,2,10,2,2,0,1
382,1,5,5,0,0,0
709,2,1,3,2,6,0
1320,1,2,6,0,0,1
272,1,14,4,6,4,0
1345,1,6,3,2,3,1
859,2,17,5,4,6,0
814,2,5,6,6,6,1
1145,2,14,3,6,2,0
1006,2,13,6,3,2,0
463,2,2,3,1,0,0
1503,1,13,1,0,0,1
166,2,12,5,3,2,1
98,2,2,3,6,0,0
242,2,18,6,3,0,0
1424,2,7,5,0,0,0
489,2,17,1,1,6,0
1733,2,8,6,4,3,0
525,1,4,2,1,2,0
1819,1,18,5,0,3,0
1297,2,3,3,6,1,1
1170,2,14,1,0,0,0
997,1,1,5,2,0,1
223,2,20,1,1,0,0
412,1,18,4,3,6,1
1650,2,2,3,4,0,1
255,1,12,6,0,1,0
1358,1,16,3,6,1,0
1090,2,19,6,0,0,1
186,2,4,2,2,4,1
815,2,4,1,3,4,0
576,1,2,4,2,6,0
1142,2,4,6,0,0,0
1468,1,17,6,0,0,1
1431,2,19,1,2,3,0
79,1,18,3,0,4,1
1448,1,16,3,0,0,0
165,1,11,2,0,4,0
507,1,1,4,0,2,1
830,2,19,3,4,0,0
1016,2,8,5,4,4,1
1082,1,12,3,4,6,0
205,1,6,3,4,4,0
11,2,11,6,2,3,0
1580,2,8,5,1,6,0
422,1,10,4,6,6,1
1245,1,16,4,1,0,0
215,1,16,2,1,0,0
428,1,18,5,4,4,1
232,1,2,1,2,1,0
65,2,13,4,0,2,0
1605,2,4,1,6,4,0
53,2,16,6,2,1,0
143,2,10,6,4,0,0
1644,2,6,6,1,0,0
1959,2,6,1,0,1,0
1064,1,4,1,1,4,0
229,1,2,3,0,4,1
1221,2,14,5,0,1,0
372,1,16,3,0,2,0
572,1,8,1,6,0,0
1493,1,10,3,0,3,0
1114,2,20,4,0,1,0
1843,2,5,5,1,3,0
379,2,2,4,1,0,0
922,2,15,1,4,2,1
1535,1,10,3,4,0,1
1879,1,7,3,0,0,1
385,1,13,3,4,3,1
1971,1,4,5,0,2,0
1778,2,10,4,6,1,0
195,1,18,2,0,6,0
758,1,13,1,3,2,1
661,1,15,2,0,4,1
1321,2,15,1,0,6,0
583,1,2,6,6,4,0
189,1,19,6,3,1,0
1898,1,14,1,6,2,0
746,1,5,1,2,1,1
698,1,16,1,6,0,0
827,2,10,2,4,0,0
938,1,9,6,2,0,0
1574,2,17,5,6,0,0
1957,2,13,1,0,0,0
278,1,14,5,6,0,0
824,2,7,6,1,1,0
467,2,7,5,2,1,0
1385,1,1,6,4,3,0
130,1,18,1,0,3,0
1379,2,19,2,3,6,0
1048,2,15,3,6,1,1
684,2,6,5,4,3,0
401,2,1,5,3,0,1
103,2,8,4,6,2,0
1292,1,8,1,0,3,1
1614,1,16,2,3,3,1
1667,2,6,5,1,2,1
683,1,14,5,3,2,0
1444,2,6,1,6,2,0
1526,2,11,5,6,1,0
1323,1,16,3,4,0,0
1124,1,4,2,0,0,0
1957,1,4,6,0,6,0
206,2,17,2,1,4,1
336,2,16,6,6,3,0
1158,2,18,6,1,4,0
425,1,6,6,2,2,0
655,2,9,3,0,2,1
1097,1,4,2,0,0,0
1295,1,2,2,0,2,0
1599,2,2,3,0,1,0
322,1,1,3,0,1,0
688,2,5,4,3,0,0
550,1,9,4,1,0,0
1502,1,7,1,0,3,0
1576,2,10,6,0,0,0
1496,1,4,5,3,0,0
1767,1,4,3,6,2,0
1379,2,1,4,6,0,1
1197,1,15,1,3,6,1
663,1,14,4,1,3,0
1390,1,13,1,6,0,1
875,2,6,1,3,2,1
1135,1,6,6,2,2,0
1867,1,17,5,3,2,0
55,1,14,3,0,0,0
1731,2,17,1,6,6,0
917,1,5,2,6,0,0
1363,2,4,2,2,6,0
1703,1,4,4,6,3,0
931,2,7,4,1,4,0
1086,1,10,1,3,1,0
639,2,12,3,0,3,1
1276,2,2,5,0,0,0
240,1,4,1,2,0,0
7,1,13,3,0,1,0
1148,2,13,5,3,0,0
1697,2,14,3,0,2,1
1321,1,4,4,2,0,0
553,1,2,2,2,6,0
465,1,7,1,3,0,0
1687,2,15,2,0,6,0
880,2,1,5,2,0,1
1338,1,19,6,0,6,1
1808,2,15,5,4,2,1
202,1,1,4,0,4,0
560,2,8,3,6,3,0
612,2,10,5,4,3,1
1717,2,4,3,6,6,0
1200,1,18,5,3,0,0
633,1,15,3,6,6,0
550,1,20,6,1,0,1
1904,2,16,3,2,0,1
308,2,2,4,0,4,0
18,1,15,6,2,2,0
1443,1,18,4,3,4,0
1594,1,9,3,0,3,1
822,1,19,3,0,3,0
1527,2,5,3,4,0,1
1950,2,13,2,2,2,0
916,1,9,6,0,2,0
1704,1,5,2,0,0,0
201,1,9,3,6,2,0
1788,1,20,1,4,2,0
